dataset,seed,edge_src,edge_dst,feature_risk,feature_similarity,confidence_edge_score,raw_stability_score,residualized_stability,stability_residual_final,fo_prune,sr_prune,conf_prune,bad_edge,ambiguity_bucket
Cora,0,0,633,0.8470561504364014,0.15294381976127625,0.4291232228279114,0.3534389138221741,0.11077909171581268,0.4697543680667877,False,False,False,False,1
Cora,0,0,1862,0.8278673887252808,0.17213259637355804,0.3546024262905121,0.25196677446365356,0.02689308300614357,0.3570985794067383,False,False,False,False,1
Cora,0,0,2582,0.9235280752182007,0.07647190988063812,0.9108300805091858,0.37816235423088074,0.16186866164207458,0.9146016836166382,True,False,False,False,2
Cora,0,1,2,0.8564905524253845,0.14350946247577667,0.4827636480331421,0.4211502969264984,0.2623715400695801,0.5879126787185669,False,False,False,False,1
Cora,0,1,652,0.739130437374115,0.260869562625885,0.15618394315242767,0.44871786236763,0.3358355760574341,0.31285983324050903,False,False,False,False,0
Cora,0,1,654,0.695652186870575,0.30434781312942505,0.09868084639310837,0.4451723098754883,0.32286274433135986,0.2530609965324402,False,False,False,False,0
Cora,0,2,332,0.8086540699005127,0.1913459450006485,0.3377304673194885,0.48232167959213257,0.433277428150177,0.5004919171333313,False,False,False,False,0
Cora,0,2,1454,0.8498121500015259,0.15018784999847412,0.46403321623802185,0.454365998506546,0.3600320518016815,0.6026710271835327,False,False,False,False,1
Cora,0,2,1666,0.6558763980865479,0.34412360191345215,0.12772393226623535,0.47926393151283264,0.41461992263793945,0.2667808532714844,False,False,False,False,0
Cora,0,2,1986,1.0,0.0,1.029079556465149,0.502761960029602,0.5151956677436829,1.2068727016448975,True,True,True,False,2
Cora,0,3,2544,0.8026145100593567,0.1973855048418045,0.410174161195755,0.4619201123714447,0.3736608028411865,0.36232781410217285,False,False,False,False,0
Cora,0,4,1016,0.7837047576904297,0.2162952423095703,0.23595218360424042,0.42760494351387024,0.2737409770488739,0.22210478782653809,False,False,False,False,0
Cora,0,4,1256,0.6837722063064575,0.3162277936935425,0.09088258445262909,0.272688627243042,0.028059178963303566,0.07933095097541809,False,False,False,False,0
Cora,0,4,1761,0.8918523788452148,0.10814762115478516,0.7022082805633545,0.49487966299057007,0.48079583048820496,0.8409007787704468,False,False,False,False,1
Cora,0,4,2175,1.0,0.0,1.0341811180114746,0.29966965317726135,0.07397419959306717,0.9898148775100708,True,False,True,False,2
Cora,0,4,2176,0.8232232928276062,0.1767767071723938,0.35143211483955383,0.4409487843513489,0.32111361622810364,0.4933678209781647,False,False,False,False,0
Cora,0,5,1629,0.9445300102233887,0.055470019578933716,0.9086071848869324,0.35222089290618896,0.12440783530473709,0.8848479986190796,True,False,False,False,2
Cora,0,5,1659,0.9327327013015747,0.0672672837972641,0.8932293057441711,0.3563092052936554,0.1284162849187851,0.9043983221054077,True,False,False,False,2
Cora,0,5,2546,0.8184317350387573,0.18156825006008148,0.36167189478874207,0.36161696910858154,0.11617228388786316,0.351085901260376,False,False,False,False,0
Cora,0,6,373,0.885667622089386,0.1143324002623558,0.6079731583595276,0.36310476064682007,0.12790612876415253,0.6353399753570557,False,False,False,False,1
Cora,0,6,1042,0.8525580167770386,0.14744195342063904,0.46323150396347046,0.42572641372680664,0.27643758058547974,0.5750856399536133,False,False,False,False,1
Cora,0,6,1416,0.7428277730941772,0.25717222690582275,0.1540703922510147,0.44417327642440796,0.32264411449432373,0.3101450204849243,False,False,False,False,0
Cora,0,6,1602,0.8034107089042664,0.19658927619457245,0.27898839116096497,0.43363747000694275,0.29480358958244324,0.4169156551361084,False,False,False,False,0
Cora,0,7,208,1.0,0.0,0.9801034331321716,0.3035977780818939,0.07710807770490646,0.9583120346069336,True,False,False,False,2
Cora,0,8,269,0.766873836517334,0.2331261932849884,0.19998541474342346,0.5195857286453247,0.5282413363456726,0.4536658823490143,False,False,False,False,0
Cora,0,8,281,0.7202485799789429,0.27975142002105713,0.12571969628334045,0.4872719645500183,0.44180452823638916,0.33891478180885315,False,False,False,False,0
Cora,0,8,1996,0.9354502558708191,0.06454972177743912,0.9492747783660889,0.21803416311740875,0.03184898942708969,0.8578274250030518,True,False,False,False,2
Cora,0,9,723,0.5917516946792603,0.40824830532073975,0.15895342826843262,0.593711256980896,0.669411838054657,0.03199475258588791,False,False,False,False,0
Cora,0,9,2614,1.0,0.0,0.9982872605323792,0.45893198251724243,0.39064207673072815,1.056045413017273,True,True,False,False,2
Cora,0,10,476,0.8448736667633057,0.15512631833553314,0.4469790756702423,0.47109556198120117,0.4046352207660675,0.600721538066864,False,False,False,False,1
Cora,0,10,2545,0.8544785976409912,0.1455213874578476,0.46651118993759155,0.3838156759738922,0.15982799232006073,0.4922017455101013,False,False,False,False,1
Cora,0,11,1655,0.759807825088501,0.2401922047138214,0.2138327956199646,0.45961540937423706,0.36498796939849854,0.3606697618961334,False,False,False,False,0
Cora,0,11,1839,0.839871883392334,0.1601281464099884,0.42930543422698975,0.39802277088165283,0.19087529182434082,0.42881348729133606,False,False,False,False,1
Cora,0,12,1001,1.0,0.0,1.0264922380447388,0.43106329441070557,0.31244078278541565,1.0876212120056152,True,True,False,False,2
Cora,0,12,1318,0.7958758473396301,0.20412413775920868,0.2648494839668274,0.41036346554756165,0.22061073780059814,0.3611981272697449,False,False,False,False,0
Cora,0,12,2661,0.7113248705863953,0.28867512941360474,0.1248815655708313,0.4176318049430847,0.237883523106575,0.22434589266777039,False,False,False,False,0
Cora,0,12,2662,0.5,0.5,0.09390714764595032,0.4574683904647827,0.3536185324192047,0.19111216068267822,False,False,False,False,0
Cora,0,13,1701,1.0,0.0,1.0092558860778809,0.3836541175842285,0.17761094868183136,1.0308650732040405,True,False,False,False,2
Cora,0,13,1810,0.899874746799469,0.10012523084878922,0.7118285894393921,0.4001255929470062,0.2099701166152954,0.7108264565467834,False,False,False,False,1
Cora,0,14,158,0.8469069004058838,0.1530930995941162,0.49099916219711304,0.2704489529132843,0.04023030400276184,0.4135631322860718,False,False,False,False,1
Cora,0,14,2034,0.9531707167625427,0.046829286962747574,0.9922016859054565,0.48215556144714355,0.45681801438331604,1.1268857717514038,True,True,False,False,2
Cora,0,14,2075,0.9009852409362793,0.0990147516131401,0.7078200578689575,0.3596093952655792,0.12739595770835876,0.7072917222976685,False,False,False,False,2
Cora,0,14,2077,0.851477861404419,0.14852212369441986,0.45827561616897583,0.327583372592926,0.08082500845193863,0.45505064725875854,False,False,False,False,1
Cora,0,14,2668,0.872311532497406,0.127688467502594,0.557721734046936,0.317566454410553,0.07550469785928726,0.5525835752487183,False,False,False,False,1
Cora,0,15,1090,0.6872283816337585,0.31277161836624146,0.0853436291217804,0.44733884930610657,0.3297135531902313,0.24774068593978882,False,False,False,False,0
Cora,0,15,1093,0.08695656061172485,0.9130434393882751,0.024378689005970955,0.4936535060405731,0.45280954241752625,0.0007652502972632647,False,False,False,False,0
Cora,0,15,1271,0.21739131212234497,0.782608687877655,0.013191457837820053,0.4776158928871155,0.4071131646633148,0.10496683418750763,False,False,False,False,0
Cora,0,15,2367,0.8666337728500366,0.13336625695228577,0.534691333770752,0.39746835827827454,0.19451934099197388,0.5640441179275513,False,False,False,False,1
Cora,0,16,970,0.8218258619308472,0.17817415297031403,0.34756940603256226,0.3997117578983307,0.1956125646829605,0.4239486753940582,False,False,False,False,0
Cora,0,16,1632,0.8350427746772766,0.1649572253227234,0.41061145067214966,0.45837506651878357,0.36753880977630615,0.550488293170929,False,False,False,False,1
Cora,0,16,2444,0.8604273796081543,0.1395726203918457,0.5223380327224731,0.5296646356582642,0.5658479332923889,0.7672363519668579,False,False,False,False,1
Cora,0,16,2642,1.0,0.0,0.9893593192100525,0.4328318238258362,0.31805261969566345,1.1177027225494385,True,True,False,False,2
Cora,0,17,24,0.7029557228088379,0.2970442473888397,0.09926389902830124,0.22531923651695251,0.010130456648766994,0.10323590785264969,False,False,False,False,0
Cora,0,17,927,0.5149286985397339,0.4850712716579437,0.017272792756557465,0.29430264234542847,0.03600320592522621,0.015997376292943954,False,False,False,False,0
Cora,0,17,1315,0.6636635661125183,0.3363364338874817,0.07393775880336761,0.4105866849422455,0.21485313773155212,0.11834049224853516,False,False,False,False,0
Cora,0,17,1316,0.6110777854919434,0.38892221450805664,0.04117775708436966,0.25741812586784363,0.019094817340373993,0.044038332998752594,False,False,False,False,0
Cora,0,17,2140,0.8166602849960327,0.18333971500396729,0.3183441162109375,0.20568713545799255,0.01180671900510788,0.314791202545166,False,False,False,False,0
Cora,0,18,139,0.5,0.4999999701976776,0.03279644250869751,0.37770384550094604,0.1300196796655655,0.07918518781661987,False,False,False,False,0
Cora,0,18,1560,0.8999999761581421,0.09999999403953552,0.7172582149505615,0.30036839842796326,0.06479119509458542,0.6993112564086914,False,False,False,False,1
Cora,0,18,1786,0.800000011920929,0.19999998807907104,0.2778951823711395,0.3236132264137268,0.07076743245124817,0.2813023626804352,False,False,False,False,0
Cora,0,18,2082,1.0,0.0,1.0208439826965332,0.3496610224246979,0.12469936162233353,0.983346700668335,True,False,False,False,2
Cora,0,18,2145,0.8999999761581421,0.09999999403953552,0.7462648153305054,0.40524688363075256,0.2233802080154419,0.7794256210327148,False,False,False,False,1
Cora,0,19,1939,0.8461032509803772,0.1538967490196228,0.42001309990882874,0.4481675326824188,0.3438524901866913,0.4946249723434448,False,False,False,False,1
Cora,0,20,1072,1.0,0.0,1.0765979290008545,0.4076332747936249,0.2418190985918045,1.053877353668213,True,True,True,False,2
Cora,0,20,2269,0.8043535947799683,0.19564639031887054,0.2849646508693695,0.4428172707557678,0.32359156012535095,0.43395158648490906,False,False,False,False,0
Cora,0,20,2270,0.8421052694320679,0.15789473056793213,0.4149843156337738,0.4460006058216095,0.33780336380004883,0.5628416538238525,False,False,False,False,1
Cora,0,20,2374,1.0,0.0,1.081480860710144,0.6570010185241699,0.7808468341827393,1.3466036319732666,True,True,True,False,2
Cora,0,20,2375,0.8974021673202515,0.10259783267974854,0.6759711503982544,0.42563894391059875,0.28357991576194763,0.7799358367919922,False,False,False,False,1
Cora,0,21,1043,0.885292112827301,0.11470786482095718,0.7286276817321777,0.5239412188529968,0.5549157857894897,0.8452918529510498,False,False,False,False,1
Cora,0,21,2310,0.7296309471130371,0.2703690528869629,0.16744406521320343,0.5411174297332764,0.5748122930526733,0.41975802183151245,False,False,False,False,0
Cora,0,22,39,0.9087129235267639,0.09128709137439728,0.8200567960739136,0.4111885130405426,0.2450258582830429,0.8805480599403381,False,False,False,False,2
Cora,0,22,1234,0.8134990334510803,0.18650095164775848,0.3342321813106537,0.41526171565055847,0.237081840634346,0.4201952815055847,False,False,False,False,0
